,ds,y,type,yhat,student_type,product,funnel_step
0,2017-09-01,587324.0,Historical,,UK,BA Business ,web_traffic
1,2018-09-01,575345.0,Historical,,UK,BA Business ,web_traffic
2,2019-09-01,604992.0,Historical,,UK,BA Business ,web_traffic
3,2019-09-01,,Forecast,604992.0,UK,BA Business ,web_traffic
4,2020-09-01,,Forecast,584342.0,UK,BA Business ,web_traffic
5,2021-09-01,,Forecast,604986.0,UK,BA Business ,web_traffic
6,2022-09-01,,Forecast,584348.0,UK,BA Business ,web_traffic
7,2017-09-01,22456.0,Historical,,UK,BA Business ,enquiries
8,2018-09-01,17234.0,Historical,,UK,BA Business ,enquiries
9,2019-09-01,25473.0,Historical,,UK,BA Business ,enquiries
10,2019-09-01,,Forecast,25473.0,UK,BA Business ,enquiries
11,2020-09-01,,Forecast,18788.0,UK,BA Business ,enquiries
12,2021-09-01,,Forecast,25470.0,UK,BA Business ,enquiries
13,2022-09-01,,Forecast,18791.0,UK,BA Business ,enquiries
14,2017-09-01,2123.0,Historical,,UK,BA Business ,applications
15,2018-09-01,1858.0,Historical,,UK,BA Business ,applications
16,2019-09-01,2489.0,Historical,,UK,BA Business ,applications
17,2019-09-01,,Forecast,2489.0,UK,BA Business ,applications
18,2020-09-01,,Forecast,2076.0,UK,BA Business ,applications
19,2021-09-01,,Forecast,2488.0,UK,BA Business ,applications
20,2022-09-01,,Forecast,2076.0,UK,BA Business ,applications
21,2017-09-01,1135.0,Historical,,UK,BA Business ,enrolments
22,2018-09-01,903.0,Historical,,UK,BA Business ,enrolments
23,2019-09-01,1234.0,Historical,,UK,BA Business ,enrolments
24,2019-09-01,,Forecast,1234.0,UK,BA Business ,enrolments
25,2020-09-01,,Forecast,958.0,UK,BA Business ,enrolments
26,2021-09-01,,Forecast,1233.0,UK,BA Business ,enrolments
27,2022-09-01,,Forecast,959.0,UK,BA Business ,enrolments
28,2017-09-01,45963.0,Historical,,International,BA Business ,web_traffic
29,2018-09-01,53389.0,Historical,,International,BA Business ,web_traffic
30,2019-09-01,50907.0,Historical,,International,BA Business ,web_traffic
31,2019-09-01,,Forecast,50907.0,International,BA Business ,web_traffic
32,2020-09-01,,Forecast,51657.0,International,BA Business ,web_traffic
33,2021-09-01,,Forecast,51416.0,International,BA Business ,web_traffic
34,2022-09-01,,Forecast,51493.0,International,BA Business ,web_traffic
35,2017-09-01,1508.0,Historical,,International,BA Business ,enquiries
36,2018-09-01,2609.0,Historical,,International,BA Business ,enquiries
37,2019-09-01,2221.0,Historical,,International,BA Business ,enquiries
38,2019-09-01,,Forecast,2221.0,International,BA Business ,enquiries
39,2020-09-01,,Forecast,1844.0,International,BA Business ,enquiries
40,2021-09-01,,Forecast,1959.0,International,BA Business ,enquiries
41,2022-09-01,,Forecast,1924.0,International,BA Business ,enquiries
42,2017-09-01,409.0,Historical,,International,BA Business ,applications
