Product,student_type,year,Web traffic,Enquiries,Applications,Enrolments
BA Business ,UK,2017/18 Actual,"587,324","22,456","2,123","1,135"
BA Business ,International,2017/18 Actual,"45,963","1,508",409,135
BA International Business,UK,2017/18 Actual,"457,845","7,458",989,412
BA International Business,International,2017/18 Actual,"30,043","2,859",366,210
BSc Maths & Stats,UK,2017/18 Actual,"245,689","4,937",501,250
BSc Maths & Stats,International,2017/18 Actual,"21,641",951,83,43
BSc Banking & Finance,UK,2017/18 Actual,0,0,0,0
BSc Banking & Finance,International,2017/18 Actual,0,0,0,0
Unknown,UK,2017/18 Actual,"2,830,734","77,371",,
Unknown,International,2017/18 Actual,"356,520","9,660",,
MSc Economics,UK,2017/18 Actual,"40,456","1,002",487,243
MSc Economics,International,2017/18 Actual,"6,544",420,36,22
MBA,UK,2017/18 Actual,"126,099","5,345",945,537
MBA,International,2017/18 Actual,"50,287",735,264,109
BA Business ,UK,2018/19 Actual,"575,345","17,234","1,858",903
BA Business ,International,2018/19 Actual,"53,389","2,609",231,95
BA International Business,UK,2018/19 Actual,"412,785","6,233",903,401
BA International Business,International,2018/19 Actual,"27,080","2,231",309,217
BSc Maths & Stats,UK,2018/19 Actual,"217,332","4,590",421,222
BSc Maths & Stats,International,2018/19 Actual,"17,777",641,81,21
BSc Banking & Finance,UK,2018/19 Actual,0,0,0,0
BSc Banking & Finance,International,2018/19 Actual,0,0,0,0
Unknown,UK,2018/19 Actual,"2,714,926","68,399",,
Unknown,International,2018/19 Actual,"265,546","8,589",,
MSc Economics,UK,2018/19 Actual,"32,561",811,451,202
MSc Economics,International,2018/19 Actual,"6,346",426,39,33
MBA,UK,2018/19 Actual,"107,382","4,762",777,432
MBA,International,2018/19 Actual,"44,624",626,225,80
BA Business ,UK,2019/20 Actual,"604,992","25,473","2,489","1,234"
BA Business ,International,2019/20 Actual,"50,907","2,221",300,189
BA International Business,UK,2019/20 Actual,"411,287","7,456",899,398
BA International Business,International,2019/20 Actual,"33,345","2,552",379,225
BSc Maths & Stats,UK,2019/20 Actual,"190,252","3,808",351,162
BSc Maths & Stats,International,2019/20 Actual,"12,862",465,50,22
BSc Banking & Finance,UK,2019/20 Actual,"96,435","5,001",301,256
BSc Banking & Finance,International,2019/20 Actual,"10,511",831,87,28
Unknown,UK,2019/20 Actual,"2,877,430","80,591",,
Unknown,International,2019/20 Actual,"350,865","10,561",,
MSc Economics,UK,2019/20 Actual,"32,677",851,458,201
MSc Economics,International,2019/20 Actual,"6,365",479,41,47
MBA,UK,2019/20 Actual,"121,874","5,345","1,051",499
MBA,International,2019/20 Actual,"47,823",656,261,138
BA Business ,UK,2020/21 Target,"600,000","28,000","2,500","1,210"
BA Business ,International,2020/21 Target,"100,000","4,000",500,300
BA International Business,UK,2020/21 Target,"400,000","9,000",800,350
BA International Business,International,2020/21 Target,"50,000","3,000",450,300
BSc Maths & Stats,UK,2020/21 Target,"230,000","4,000",400,200
BSc Maths & Stats,International,2020/21 Target,"20,000","1,000",100,50
BSc Banking & Finance,UK,2020/21 Target,"230,000","6,000",800,400
BSc Banking & Finance,International,2020/21 Target,"20,000","1,500",200,200
Unknown,UK,2020/21 Target,"3,000,000","85,000",,
Unknown,International,2020/21 Target,"500,000","15,000",,
MSc Economics,UK,2020/21 Target,"40,000","1,000",575,300
MSc Economics,International,2020/21 Target,"5,000",500,75,50
MBA,UK,2020/21 Target,"150,000","5,000","1,300",500
MBA,International,2020/21 Target,"50,000","2,000",450,250
