index,ds,y,yhat_lower,yhat_upper,yhat,product,student_type,funnel_step
0,2017-01-01,587324.0,,,,BA Business ,UK,web_traffic
1,2018-01-01,575345.0,,,,BA Business ,UK,web_traffic
2,2019-01-01,604992.0,,,,BA Business ,UK,web_traffic
0,2019-01-01,,604992.0,604992.0,604992.0,BA Business ,UK,web_traffic
1,2020-01-01,,731655.8897830528,810635.3808727257,774692.174075266,BA Business ,UK,web_traffic
2,2021-01-01,,569540.8063636734,811944.4629440623,701222.7380242044,BA Business ,UK,web_traffic
3,2022-01-01,,543693.9276081709,982552.0299172438,766778.0898509541,BA Business ,UK,web_traffic
0,2017-01-01,45963.0,,,,BA Business ,International,web_traffic
1,2018-01-01,53389.0,,,,BA Business ,International,web_traffic
2,2019-01-01,50907.0,,,,BA Business ,International,web_traffic
0,2019-01-01,,50907.0,50907.0,50907.0,BA Business ,International,web_traffic
1,2020-01-01,,46676.747203767416,55532.43344174498,51050.834337290544,BA Business ,International,web_traffic
2,2021-01-01,,51876.722062598084,60183.334694135825,56006.634456759275,BA Business ,International,web_traffic
3,2022-01-01,,52933.80544653641,61774.16848100433,57199.64159072192,BA Business ,International,web_traffic
0,2017-01-01,22456.0,,,,BA Business ,UK,enquiries
1,2018-01-01,17234.0,,,,BA Business ,UK,enquiries
2,2019-01-01,25473.0,,,,BA Business ,UK,enquiries
0,2019-01-01,,25473.0,25473.0,25473.0,BA Business ,UK,enquiries
1,2020-01-01,,19321.459970283715,31897.986951619605,25740.039012715704,BA Business ,UK,enquiries
2,2021-01-01,,20192.258221010954,32407.19367497597,26401.708003682525,BA Business ,UK,enquiries
3,2022-01-01,,21608.72974457955,34058.296922195485,28050.82908366464,BA Business ,UK,enquiries
0,2017-01-01,1508.0,,,,BA Business ,International,enquiries
1,2018-01-01,2609.0,,,,BA Business ,International,enquiries
2,2019-01-01,2221.0,,,,BA Business ,International,enquiries
0,2019-01-01,,2221.0,2221.0,2221.0,BA Business ,International,enquiries
1,2020-01-01,,2245.79485511219,3489.9218778597833,2874.084033007034,BA Business ,International,enquiries
2,2021-01-01,,2487.647359436986,3845.1772676342644,3153.4676327257575,BA Business ,International,enquiries
3,2022-01-01,,2792.464269127099,4188.906459248158,3486.512270431953,BA Business ,International,enquiries
0,2017-01-01,2123.0,,,,BA Business ,UK,applications
1,2018-01-01,1858.0,,,,BA Business ,UK,applications
2,2019-01-01,2489.0,,,,BA Business ,UK,applications
0,2019-01-01,,2489.0,2489.0,2489.0,BA Business ,UK,applications
1,2020-01-01,,2299.753387299361,3052.9781203950224,2667.8412532766943,BA Business ,UK,applications
2,2021-01-01,,2341.443535234965,3145.0462682060115,2732.4023504733736,BA Business ,UK,applications
3,2022-01-01,,2548.0758243561286,3339.857636874176,2937.868225424508,BA Business ,UK,applications
0,2017-01-01,409.0,,,,BA Business ,International,applications
1,2018-01-01,231.0,,,,BA Business ,International,applications
2,2019-01-01,300.0,,,,BA Business ,International,applications
0,2019-01-01,,300.0,300.0,300.0,BA Business ,International,applications
1,2020-01-01,,71.88533260681581,298.4043701933113,187.29449166977417,BA Business ,International,applications
2,2021-01-01,,40.541861500184304,263.85625340975827,152.3117049120401,BA Business ,International,applications
3,2022-01-01,,-9.234616555713663,214.15557873772224,99.78746349140667,BA Business ,International,applications
0,2017-01-01,1135.0,,,,BA Business ,UK,enrolments
1,2018-01-01,903.0,,,,BA Business ,UK,enrolments
2,2019-01-01,1234.0,,,,BA Business ,UK,enrolments
0,2019-01-01,,1234.0,1234.0,1234.0,BA Business ,UK,enrolments
1,2020-01-01,,991.2577926012805,1486.4698906637495,1233.5864703412278,BA Business ,UK,enrolments
2,2021-01-01,,1000.1550800433101,1497.5446914076633,1248.5785803524668,BA Business ,UK,enrolments
3,2022-01-01,,1046.9875373155216,1537.0352942199029,1306.3037451010694,BA Business ,UK,enrolments
0,2017-01-01,135.0,,,,BA Business ,International,enrolments
1,2018-01-01,95.0,,,,BA Business ,International,enrolments
2,2019-01-01,189.0,,,,BA Business ,International,enrolments
0,2019-01-01,,189.0,189.0,189.0,BA Business ,International,enrolments
1,2020-01-01,,146.59173047495648,270.21088606762544,206.69288251094713,BA Business ,International,enrolments
2,2021-01-01,,161.19049752655283,277.01506570602584,221.47401929114992,BA Business ,International,enrolments
3,2022-01-01,,189.29309172881682,308.8330246059666,249.21133320417292,BA Business ,International,enrolments
0,2017-01-01,457845.0,,,,BA International Business,UK,web_traffic
1,2018-01-01,412785.0,,,,BA International Business,UK,web_traffic
2,2019-01-01,411287.0,,,,BA International Business,UK,web_traffic
0,2019-01-01,,411287.0,411287.0,411287.0,BA International Business,UK,web_traffic
1,2020-01-01,,441981.33105493133,500554.8482346436,469631.3735245285,BA International Business,UK,web_traffic
2,2021-01-01,,332513.1316374207,503275.71969986206,412577.9487339596,BA International Business,UK,web_traffic
3,2022-01-01,,269818.19915168645,589738.0552458332,426048.2368827419,BA International Business,UK,web_traffic
0,2017-01-01,30043.0,,,,BA International Business,International,web_traffic
1,2018-01-01,27080.0,,,,BA International Business,International,web_traffic
2,2019-01-01,33345.0,,,,BA International Business,International,web_traffic
0,2019-01-01,,33345.0,33345.0,33345.0,BA International Business,International,web_traffic
1,2020-01-01,,31300.051548784853,39663.73605735697,35472.7282494105,BA International Business,International,web_traffic
2,2021-01-01,,31367.65128290916,40049.80748974036,35591.12412241542,BA International Business,International,web_traffic
3,2022-01-01,,33672.812442850176,42132.96789710358,37657.1934616454,BA International Business,International,web_traffic
0,2017-01-01,7458.0,,,,BA International Business,UK,enquiries
1,2018-01-01,6233.0,,,,BA International Business,UK,enquiries
2,2019-01-01,7456.0,,,,BA International Business,UK,enquiries
0,2019-01-01,,7456.0,7456.0,7456.0,BA International Business,UK,enquiries
1,2020-01-01,,6200.2049851952825,8366.83249847159,7274.4739388597245,BA International Business,UK,enquiries
2,2021-01-01,,5965.022154027557,8314.189427523117,7133.306044916197,BA International Business,UK,enquiries
3,2022-01-01,,6119.885889326051,8332.405531307684,7205.487357471031,BA International Business,UK,enquiries
0,2017-01-01,2859.0,,,,BA International Business,International,enquiries
1,2018-01-01,2231.0,,,,BA International Business,International,enquiries
2,2019-01-01,2552.0,,,,BA International Business,International,enquiries
0,2019-01-01,,2552.0,2552.0,2552.0,BA International Business,International,enquiries
